ID fornecimento,Data,ID Und Reab,Política Pública,Origem das mudas,Finalidade da doação,SomaDequant
2515,01-jan.-17,1988,Programa Reflorestar (convencional),Granja do Ipê,convencional,200
2516,13-dez.-22,354,Programa Reflorestar (convencional),Granja do Ipê,convencional,200
2517,20-fev.-20,1990,Programa Reflorestar (convencional),Granja do Ipê,convencional,100
2518,08-jan.-18,1991,Programa Reflorestar (convencional),Granja do Ipê,convencional,40
2519,29-out.-18,1549,Programa Reflorestar (convencional),Granja do Ipê,convencional,150
2520,08-jan.-20,1545,Programa Reflorestar (convencional),Granja do Ipê,convencional,125
2521,09-jan.-20,1545,Programa Reflorestar (convencional),Granja do Ipê,convencional,125
2523,16-dez.-22,1960,Programa Reflorestar (convencional),Granja do Ipê,convencional,250
2524,16-dez.-22,1989,Programa Reflorestar (convencional),Granja do Ipê,eventos,30
2525,14-dez.-22,1992,Programa Reflorestar (convencional),Granja do Ipê,convencional,50
2526,21-fev.-13,1993,Programa Reflorestar (convencional),Casa do Cerrado,convencional,500
2527,09-nov.-12,1994,Programa Reflorestar (convencional),Casa do Cerrado,convencional,50
2528,27-set.-14,1995,Programa Reflorestar (convencional),Granja do Ipê,convencional,140
2529,28-dez.-15,1996,Programa Reflorestar (convencional),Granja do Ipê,convencional,100
2530,18-set.-14,1997,Programa Reflorestar (convencional),Casa do Cerrado,convencional,145
2531,19-dez.-14,1998,Programa Reflorestar (convencional),Casa do Cerrado,convencional,150
2532,17-dez.-13,1999,Programa Reflorestar (convencional),Casa do Cerrado,convencional,35
2533,01-dez.-16,1999,Programa Reflorestar (convencional),Granja do Ipê,convencional,100
2534,01-nov.-17,2000,Programa Reflorestar (convencional),Granja do Ipê,convencional,105
2535,01-nov.-17,2000,Programa Reflorestar (convencional),Casa do Cerrado,convencional,161
2536,25-out.-12,2001,Programa Reflorestar (convencional),Granja do Ipê,convencional,400
2537,24-jun.-13,2001,Programa Reflorestar (convencional),Casa do Cerrado,convencional,10
2538,11-jan.-16,2002,Programa Reflorestar (convencional),Granja do Ipê,convencional,200
2539,19-dez.-13,2003,Programa Reflorestar (convencional),Casa do Cerrado,convencional,400
2540,20-dez.-17,2004,Programa Reflorestar (convencional),Casa do Cerrado,convencional,145
2541,20-dez.-17,2004,Programa Reflorestar (convencional),Granja do Ipê,convencional,105
2542,17-dez.-18,2005,Programa Reflorestar (convencional),Granja do Ipê,convencional,250
2543,05-out.-14,2006,Programa Reflorestar (convencional),Casa do Cerrado,convencional,300
2544,30-ago.-12,2007,Programa Reflorestar (convencional),Casa do Cerrado,convencional,150
2545,02-dez.-13,2008,Programa Reflorestar (convencional),Casa do Cerrado,convencional,50
2546,18-dez.-12,2009,Programa Reflorestar (convencional),Casa do Cerrado,convencional,30
2547,01-jan.-17,2010,Programa Reflorestar (convencional),Granja do Ipê,convencional,150
2548,12-dez.-12,2012,Programa Reflorestar (convencional),Casa do Cerrado,convencional,100
2549,23-nov.-12,2013,Programa Reflorestar (convencional),Casa do Cerrado,convencional,100
2550,11-dez.-18,2014,Programa Reflorestar (convencional),Granja do Ipê,convencional,120
2551,20-ago.-13,2016,Programa Reflorestar (convencional),Casa do Cerrado,convencional,160
2553,15-dez.-22,1517,Programa Reflorestar (convencional),Granja do Ipê,convencional,100
2555,15-dez.-22,1970,Programa Reflorestar (convencional),Granja do Ipê,convencional,250
2556,15-dez.-22,2018,Programa Reflorestar (convencional),Granja do Ipê,convencional,250
2557,16-dez.-22,2023,Programa Reflorestar (convencional),Granja do Ipê,convencional,30
2558,23-fev.-16,2028,Programa Reflorestar (convencional),Granja do Ipê,convencional,300
2560,28-nov.-18,562,Programa Reflorestar (convencional),Granja do Ipê,convencional,250
2561,03-dez.-19,562,Programa Reflorestar (convencional),Granja do Ipê,convencional,100
2562,31-out.-17,2029,Programa Reflorestar (convencional),Granja do Ipê,convencional,666
2563,29-jan.-14,2030,Programa Reflorestar (convencional),Casa do Cerrado,convencional,150
2564,07-abr.-14,2030,Programa Reflorestar (convencional),Casa do Cerrado,convencional,150
2565,11-out.-12,2031,Programa Reflorestar (convencional),Casa do Cerrado,convencional,260
2566,17-out.-12,2031,Programa Reflorestar (convencional),Granja do Ipê,convencional,250
2567,23-out.-13,2031,Programa Reflorestar (convencional),Granja do Ipê,convencional,497
2568,03-fev.-09,2032,Programa Reflorestar (convencional),Granja do Ipê,convencional,400
2569,29-nov.-13,2033,Programa Reflorestar (convencional),Granja do Ipê,convencional,500
2570,04-jan.-23,1986,Programa Reflorestar (convencional),Granja do Ipê,convencional,250
2571,03-jan.-23,1984,Programa Reflorestar (convencional),Granja do Ipê,convencional,117
2575,05-jan.-23,1966,Programa Reflorestar (convencional),Granja do Ipê,convencional,176
2578,05-jan.-23,673,Programa Reflorestar (convencional),Granja do Ipê,convencional,50
2579,04-jan.-23,1980,Programa Reflorestar (convencional),Granja do Ipê,convencional,100
2580,06-jan.-23,710,Programa Reflorestar (convencional),Granja do Ipê,convencional,250
2581,05-jan.-23,905,Programa Reflorestar (convencional),Granja do Ipê,convencional,250
2582,04-jan.-23,2022,Programa Reflorestar (convencional),Granja do Ipê,convencional,250
2583,04-jan.-23,2020,Programa Reflorestar (convencional),Granja do Ipê,convencional,250
2584,04-jan.-23,2021,Programa Reflorestar (convencional),Granja do Ipê,convencional,250
2585,09-jan.-23,1947,Programa Reflorestar (convencional),Granja do Ipê,convencional,250
2586,09-jan.-23,1928,Programa Reflorestar (convencional),Granja do Ipê,convencional,250
2588,09-jan.-23,2039,Programa Reflorestar (convencional),Granja do Ipê,convencional,250
2589,10-jan.-23,2041,Programa Reflorestar (convencional),Granja do Ipê,convencional,250
2590,10-jan.-23,1779,Programa Reflorestar (convencional),Granja do Ipê,convencional,200
2592,10-jan.-23,1843,Programa Reflorestar (convencional),Granja do Ipê,convencional,200
2593,10-jan.-23,1855,Programa Reflorestar (convencional),Granja do Ipê,convencional,250
2594,11-jan.-23,275,Programa Reflorestar (convencional),Granja do Ipê,convencional,200
2595,12-jan.-23,2045,Programa Reflorestar (convencional),Granja do Ipê,convencional,250
2596,12-jan.-23,2043,Programa Reflorestar (convencional),Granja do Ipê,convencional,250
2597,12-jan.-23,2046,Programa Reflorestar (convencional),Granja do Ipê,convencional,300
2598,13-jan.-23,1468,Programa Reflorestar (convencional),Granja do Ipê,convencional,50
2599,13-jan.-23,1981,Programa Reflorestar (convencional),Granja do Ipê,convencional,50
2600,13-jan.-23,2035,Programa Reflorestar (convencional),Granja do Ipê,convencional,250
2601,20-jan.-23,2047,Programa Reflorestar (convencional),Granja do Ipê,convencional,100
2602,13-jan.-23,1981,Programa Reflorestar (convencional),Granja do Ipê,convencional,52
